Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,End Of File
04/05/16,12:30:00,14.6513,84.295,,,,
04/05/16,12:45:00,14.6524,84.654,,,,
04/05/16,13:00:00,14.6477,84.654,,,,
04/05/16,13:15:00,14.6433,84.834,,,,
04/05/16,13:30:00,14.6439,85.014,,,,
04/05/16,13:45:00,14.6395,85.194,,,,
04/05/16,14:00:00,14.6401,85.374,,,,
04/05/16,14:15:00,14.6401,85.374,,,,
04/05/16,14:30:00,14.6365,85.014,,,,
04/05/16,14:45:00,14.6311,84.834,,,,
04/05/16,15:00:00,14.6294,84.295,,,,
04/05/16,15:15:00,14.6282,83.935,,,,
04/05/16,15:30:00,14.6271,83.579,,,,
04/05/16,15:45:00,14.6308,83.221,,,,
04/05/16,16:00:00,14.6278,83.043,,,,
04/05/16,16:15:00,14.6291,82.686,,,,
04/05/16,16:30:00,14.6316,82.686,,,,
04/05/16,16:45:00,14.6302,83.043,,,,
04/05/16,17:00:00,14.6310,82.508,,,,
04/05/16,17:15:00,14.6346,82.152,,,,
04/05/16,17:30:00,14.6323,82.152,,,,
04/05/16,17:45:00,14.6365,81.975,,,,
04/05/16,18:00:00,14.6353,81.621,,,,
04/05/16,18:15:00,14.6372,81.442,,,,
04/05/16,18:30:00,14.6372,81.442,,,,
04/05/16,18:45:00,14.6318,81.266,,,,
04/05/16,19:00:00,14.6391,81.266,,,,
04/05/16,19:15:00,14.6385,81.090,,,,
04/05/16,19:30:00,14.6385,81.090,,,,
04/05/16,19:45:00,14.6478,80.911,,,,
04/05/16,20:00:00,14.6453,80.911,,,,
04/05/16,20:15:00,14.6521,80.735,,,,
04/05/16,20:30:00,14.6521,80.735,,,,
04/05/16,20:45:00,14.6594,80.735,,,,
04/05/16,21:00:00,14.6588,80.559,,,,
04/05/16,21:15:00,14.6833,80.559,,,,
04/05/16,21:30:00,14.6881,80.559,,,,
04/05/16,21:45:00,14.6906,80.559,,,,
04/05/16,22:00:00,14.7022,80.382,,,,
04/05/16,22:15:00,14.6993,80.206,,,,
04/05/16,22:30:00,14.7529,80.206,,,,
04/05/16,22:45:00,14.7451,80.029,,,,
04/05/16,23:00:00,14.7371,79.853,,,,
04/05/16,23:15:00,14.7299,79.853,,,,
04/05/16,23:30:00,14.7274,79.853,,,,
04/05/16,23:45:00,14.7225,79.853,,,,
04/06/16,00:00:00,14.7200,79.853,,,,
04/06/16,00:15:00,14.7225,79.853,,,,
04/06/16,00:30:00,14.7177,79.853,,,,
04/06/16,00:45:00,14.7152,79.853,,,,
04/06/16,01:00:00,14.7031,79.853,,,,
04/06/16,01:15:00,14.7006,79.853,,,,
04/06/16,01:30:00,14.7054,79.853,,,,
04/06/16,01:45:00,14.7134,80.029,,,,
04/06/16,02:00:00,14.7109,80.029,,,,
04/06/16,02:15:00,14.7031,79.853,,,,
04/06/16,02:30:00,14.6951,79.678,,,,
04/06/16,02:45:00,14.6945,79.502,,,,
04/06/16,03:00:00,14.6920,79.502,,,,
04/06/16,03:15:00,14.7038,79.326,,,,
04/06/16,03:30:00,14.7209,79.326,,,,
04/06/16,03:45:00,14.7380,79.326,,,,
04/06/16,04:00:00,14.7350,79.151,,,,
04/06/16,04:15:00,14.7325,79.151,,,,
04/06/16,04:30:00,14.7295,78.975,,,,
04/06/16,04:45:00,14.7295,78.975,,,,
04/06/16,05:00:00,14.7289,78.800,,,,
04/06/16,05:15:00,14.7313,78.800,,,,
04/06/16,05:30:00,14.7283,78.624,,,,
04/06/16,05:45:00,14.7308,78.624,,,,
04/06/16,06:00:00,14.7308,78.624,,,,
04/06/16,06:15:00,14.7260,78.624,,,,
04/06/16,06:30:00,14.7235,78.624,,,,
04/06/16,06:45:00,14.7260,78.624,,,,
04/06/16,07:00:00,14.7235,78.624,,,,
